2022-2023
Semester 1,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
Semester 2,CSC10002-22CTT2     ,MTH00004-22CTT2     ,MTH00030-22CTT2     ,PHY00001-22CTT2     ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
Semester 3,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
2023-2024
Semester 1,CSC10003-22CTT2     ,CSC10004-22CTT2     ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
Semester 2,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
Semester 3,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
2024-2025
Semester 1,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
Semester 2,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
Semester 3,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
2025-2026
Semester 1,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
Semester 2,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
Semester 3,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    
